0	73.44	70.94
1	3.59	43.65
2	26.80	52.68
3	73.78	60.15
4	30.42	40.52
5	44.47	26.38
6	88.34	5.06
7	52.41	47.23
8	84.96	33.51
9	65.24	14.02
10	45.02	21.97
11	68.93	6.30
12	51.69	25.14
13	62.38	81.73
14	26.17	3.62
15	78.49	85.09
16	95.54	88.66
17	19.68	45.65
18	14.55	5.47
19	29.91	60.66
20	60.92	57.30
21	24.70	82.06
22	94.34	74.68
23	66.45	33.22
24	54.62	77.02
25	2.74	83.16
26	75.69	76.71
27	82.48	96.69
28	9.41	80.21
29	26.42	60.78
30	85.23	4.87
31	56.81	59.70
32	80.15	35.43
33	84.18	34.48
34	37.14	90.24
35	8.38	16.02
36	49.52	53.14
37	15.82	65.19
38	23.97	54.58
39	44.96	88.15
